Physical Time: Physical Time (s);Particle Mass Flow 1 Monitor: Particle Mass Flow of Mass Flow Rate of Quarzmehl (kg/s);;dt;;;
5;0;0;0,001;;;
5;0;0;0;;;
5;0;0;0;;;
5;0;0;0;;;
5;0;0;0;;;
5,01;0;0;0,01;;;
5,01;0;0;0;;;
5,01;0;0;0;;;Summe
5,01;0;0;0;;;8,05E-05
5,01;0;0;0;;;8,05E-02
5,01;0;0;0;dy/dt;;0,08 g
5,011;4,39E-07;4,39E-07;0,001;4,39E-10;;0,44
5,012;1,32E-06;1,76E-06;0,001;1,32E-09;;
5,013;1,32E-06;3,07E-06;0,001;1,32E-09;;
5,014;4,83E-06;7,90E-06;0,001;4,83E-09;;
5,015;4,83E-06;1,27E-05;0,001;4,83E-09;;
5,016;5,71E-06;1,84E-05;0,001;5,71E-09;;
5,017;6,59E-06;2,50E-05;0,001;6,59E-09;;
5,018;7,47E-06;3,25E-05;0,001;7,47E-09;;
5,019;8,34E-06;4,08E-05;0,001;8,34E-09;;
5,02;1,10E-05;5,18E-05;0,001;1,10E-08;;
5,021;1,14E-05;6,32E-05;0,001;1,14E-08;;
